_id,reactant,product,reaction,condition,template_r0,template_r1
1278,CC=C(C)C=C(C)C.CC(C)=CC,CC1C=C(C)C(C)(C)C(C)(C)C1C,[CH3:1][CH:2]=[C:4]([CH3:5])[CH:3]=[C:6]([CH3:7])[CH3:8].[CH3:10][C:9]([CH3:11])=[CH:12][CH3:13]>>[CH3:1][CH:2]1[CH:3]=[C:4]([CH3:5])[C:6]([CH3:7])([CH3:8])[C:9]([CH3:10])([CH3:11])[CH:12]1[CH3:13],加热,[C;H0;D3;+0:5]1=[CH;D2;+0:4]-[CH;D3;+0:6]-[CH;D3;+0:2]-[C;H0;D4;+0:1]-[C;H0;D4;+0:3]-1>>[C;H0;D3;+0:1]=[CH;D2;+0:2].[C;H0;D3;+0:3]=[CH;D2;+0:4]-[C;H0;D3;+0:5]=[CH;D2;+0:6],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[CH;D3;+0:7](-[C;D1;H3:6])-[CH;D2;+0:10]=[C;H0;D3;+0:8](-[C;D1;H3:9])-[C;H0;D4;+0:11]-1(-[C;D1;H3:12])-[C;D1;H3:13]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[C;D1;H3:5].[C;D1;H3:6]-[CH;D2;+0:7]=[C;H0;D3;+0:8](-[C;D1;H3:9])-[CH;D2;+0:10]=[C;H0;D3;+0:11](-[C;D1;H3:12])-[C;D1;H3:13]
1279,CC(C)=C(C)C=C(C)C.CC(C)=CC,CC1(C)C=C(C)C(C)(C)C(C)(C)C1C,[CH3:10][C:7]([CH3:8])=[C:5]([CH3:6])[CH:4]=[C:2]([CH3:1])[CH3:9].[CH3:11][C:12]([CH3:3])=[CH:13][CH3:14]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[C:5]([CH3:6])[C:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[CH:13]1[CH3:14],加热,[CH3;D1;+0:1]-[C;H0;D4;+0:5]1(-[CH3;D1;+0:2])-[CH;D3;+0:4]-[C;H0;D4;+0:9](-[CH3;D1;+0:3])-[CH;D2;+0:8]=[C;H0;D3;+0:7]-[C;H0;D4;+0:6]-1-[CH3;D1;+0:10]>>[CH3;D1;+0:1]-[C;H0;D3;+0:2](-[CH3;D1;+0:3])=[CH;D2;+0:4].[CH3;D1;+0:5]-[C;H0;D3;+0:6]=[C;H0;D3;+0:7]-[CH;D2;+0:8]=[C;H0;D3;+0:9]-[CH3;D1;+0:10],[C;D1;H3:10]-[CH;D3;+0:11]1-[C;H0;D4;+0:9](-[CH3;D1;+0:13])(-[CH3;D1;+0:12])-[C;H0;D4;+0:7](-[C;D1;H3:8])(-[CH3;D1;+0:3])-[C;H0;D3;+0:5](-[C;D1;H3:6])=[CH;D2;+0:4]-[C;H0;D4;+0:2]-1(-[C;D1;H3:1])-[CH3;D1;+0:14]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[CH3;D1;+0:3])=[CH;D2;+0:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[C;H0;D3;+0:7](-[C;D1;H3:8])-[CH3;D1;+0:9].[C;D1;H3:10]-[CH;D2;+0:11]=[C;H0;D3;+0:12](-[CH3;D1;+0:13])-[CH3;D1;+0:14]
1280,CC=C(C)C(C)=C(C)C.CC(C)=CC,CC1C(C)=C(C)C(C)(C)C(C)(C)C1C,[CH3:1][CH:2]=[C:13]([CH3:14])[C:10]([CH3:12])=[C:7]([CH3:8])[CH3:9].[CH3:11][C:3]([CH3:4])=[CH:5][CH3:6]>>[CH3:1][CH:2]1[C:3]([CH3:4])=[C:5]([CH3:6])[C:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[CH:13]1[CH3:14],加热,[CH3;D1;+0:5]-[C;H0;D4;+0:2]1-[C;H0;D4;+0:1]-[C;H0;D3;+0:7]=[C;H0;D3;+0:6]-[CH;D3;+0:4]-[CH;D3;+0:3]-1>>[C;H0;D3;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=[CH;D2;+0:4].[CH3;D1;+0:5]-[C;H0;D3;+0:6]=[CH;D2;+0:7],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[CH3;D1;+0:12])-[CH;D3;+0:3](-[C;D1;H3:4])-[CH;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:11](-[C;D1;H3:10])=[C;H0;D3;+0:13](-[C;D1;H3:14])-[C;H0;D4;+0:7]-1(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH;D2;+0:5]-[C;D1;H3:6])=[C;H0;D3;+0:7](-[C;D1;H3:8])-[C;D1;H3:9].[C;D1;H3:10]-[C;H0;D3;+0:11](-[CH3;D1;+0:12])=[CH;D2;+0:13]-[C;D1;H3:14]
1281,CC(C)=C(C)C(C)=C(C)C.CC(C)=CC,CC1(C)C(C)=C(C)C(C)(C)C(C)(C)C1C,[CH3:8][C:11]([CH3:12])=[C:14]([CH3:15])[C:2]([CH3:3])=[C:4]([CH3:5])[CH3:10].[CH3:9][C:1]([CH3:13])=[CH:6][CH3:7]>>[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])=[C:6]([CH3:7])[C:8]([CH3:9])([CH3:10])[C:11]([CH3:12])([CH3:13])[CH:14]1[CH3:15],加热,[CH3;D1;+0:5]-[C;H0;D4;+0:10]1(-[CH3;D1;+0:3])-[C;H0;D3;+0:4]=[C;H0;D3;+0:6]-[C;H0;D4;+0:7](-[CH3;D1;+0:2])-[CH;D3;+0:8]-[C;H0;D4;+0:9]-1-[CH3;D1;+0:1]>>[CH3;D1;+0:1]-[C;H0;D3;+0:2](-[CH3;D1;+0:3])=[CH;D2;+0:4].[CH3;D1;+0:5]-[C;H0;D3;+0:6]=[C;H0;D3;+0:7]-[C;H0;D3;+0:8]=[C;H0;D3;+0:9]-[CH3;D1;+0:10],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[CH3;D1;+0:14])-[CH;D3;+0:4](-[C;D1;H3:5])-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[CH3;D1;+0:13])-[C;H0;D3;+0:8](-[C;D1;H3:9])=[C;H0;D3;+0:12](-[C;D1;H3:11])-[C;H0;D4;+0:3]-1(-[CH3;D1;+0:10])-[CH3;D1;+0:15]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[CH3;D1;+0:3])=[C;H0;D3;+0:4](-[C;D1;H3:5])-[C;H0;D3;+0:6](-[C;D1;H3:7])=[C;H0;D3;+0:8](-[C;D1;H3:9])-[CH3;D1;+0:10].[C;D1;H3:11]-[CH;D2;+0:12]=[C;H0;D3;+0:13](-[CH3;D1;+0:14])-[CH3;D1;+0:15]
1282,C=CC=C.C=CC,C1C=CCCC1C,[CH2:2]=[CH:1][CH:6]=[CH2:7].[CH2:3]=[CH:4][CH3:5]>>[CH2:1]1[CH:2]=[CH:3][CH2:4][CH2:5][CH:6]1[CH3:7],加热,[CH3;D1;+0:7]-[CH;D3;+0:6]1-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5]-[CH;D2;+0:6]=[CH2;D1;+0:7],[CH3;D1;+0:7]-[CH;D3;+0:6]1-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5]-[CH;D2;+0:6]=[CH2;D1;+0:7]
1283,CC=CC=C.C=CC,CC1C=CCCC1C,[CH3:5][CH:4]=[CH:3][CH:2]=[CH2:1].[CH2:8]=[CH:7][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][CH2:6][CH:7]1[CH3:8],加热,[CH2;D2;+0:6]-[CH2;D2;+0:3]-[CH;D3;+0:2](-[CH3;D1;+0:1])-[CH;D3;+0:5]-[CH3;D1;+0:4]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5].[CH3;D1;+0:6],[CH3;D1;+0:4]-[CH;D3;+0:5]1-[C:6]=[C:7]-[CH2;D2;+0:8]-[CH2;D2;+0:3]-[CH;D3;+0:2]-1-[CH3;D1;+0:1]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5]-[C:6]=[C:7]-[CH3;D1;+0:8]
1284,CC(C)=CC=C.C=CC,CC1(C)C=CCCC1C,[CH3:1][C:2]([CH3:3])=[CH:4][CH:8]=[CH2:9].[CH2:5]=[CH:6][CH3:7]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[CH:5][CH2:6][CH2:7][CH:8]1[CH3:9],加热,[CH3;D1;+0:4]-[CH;D3;+0:3]1-[C;H0;D4;+0:1]-[CH;D2;+0:2]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-1>>[C;H0;D3;+0:1]=[CH;D2;+0:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6]-[CH3;D1;+0:7],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[CH;D2;+0:4]=[CH;D2;+0:7]-[CH2;D2;+0:8]-[CH2;D2;+0:9]-[CH;D3;+0:5]-1-[CH3;D1;+0:6]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[CH;D2;+0:5]=[CH2;D1;+0:6].[CH2;D1;+0:7]=[CH;D2;+0:8]-[CH3;D1;+0:9]
1285,C=C(C)C=C.C=CC,C1C(C)=CCCC1C,[CH2:1]=[C:2]([CH3:3])[CH:4]=[CH2:8].[CH2:6]=[CH:7][CH3:5]>>[CH2:1]1[C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][CH:7]1[CH3:8],加热,[CH3;D1;+0:4]-[CH;D3;+0:6]1-[CH2;D2;+0:1]-[C;H0;D3;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:7]-[CH2;D2;+0:5]-1>>[CH2;D1;+0:1]=[C;H0;D3;+0:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6]-[CH3;D1;+0:7],[C;D1;H3:1]-[C;H0;D3;+0:2]1=[CH;D2;+0:4]-[CH2;D2;+0:8]-[CH2;D2;+0:6]-[CH;D3;+0:7](-[CH3;D1;+0:5])-[CH2;D2;+0:3]-1>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[CH;D2;+0:4]=[CH2;D1;+0:5].[CH2;D1;+0:6]=[CH;D2;+0:7]-[CH3;D1;+0:8]
1286,CC=C(C)C=C.C=CC,CC1C(C)=CCCC1C,[CH3:6][CH:5]=[C:3]([CH3:4])[CH:2]=[CH2:1].[CH2:9]=[CH:8][CH3:7]>>[CH3:1][CH:2]1[C:3]([CH3:4])=[CH:5][CH2:6][CH2:7][CH:8]1[CH3:9],加热,[CH2;D2;+0:6]-[CH2;D2;+0:3]-[CH;D3;+0:2](-[CH3;D1;+0:1])-[CH;D3;+0:5]-[CH3;D1;+0:4]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5].[CH3;D1;+0:6],[CH3;D1;+0:4]-[CH;D3;+0:5]1-[C:6]=[C:7]-[CH2;D2;+0:8]-[CH2;D2;+0:3]-[CH;D3;+0:2]-1-[CH3;D1;+0:1]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5]-[C:6]=[C:7]-[CH3;D1;+0:8]
1287,CC(C)=C(C)C=C.C=CC,CC1(C)C(C)=CCCC1C,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH:9]=[CH2:10].[CH2:6]=[CH:7][CH3:8]>>[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])=[CH:6][CH2:7][CH2:8][CH:9]1[CH3:10],加热,[CH3;D1;+0:4]-[CH;D3;+0:3]1-[C;H0;D4;+0:1]-[C;H0;D3;+0:2]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-1>>[C;H0;D3;+0:1]=[C;H0;D3;+0:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6]-[CH3;D1;+0:7],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:8]-[CH2;D2;+0:9]-[CH2;D2;+0:10]-[CH;D3;+0:6]-1-[CH3;D1;+0:7]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[C;H0;D3;+0:4](-[C;D1;H3:5])-[CH;D2;+0:6]=[CH2;D1;+0:7].[CH2;D1;+0:8]=[CH;D2;+0:9]-[CH3;D1;+0:10]
1288,CC=C(C)C=C.C=CC,CC1C=C(C)CCC1C,[CH3:2][CH:3]=[C:4]([CH3:5])[CH:8]=[CH2:9].[CH2:1]=[CH:7][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[C:4]([CH3:5])[CH2:6][CH2:7][CH:8]1[CH3:9],加热,[C;H0;D3;+0:1]-[CH2;D2;+0:7]-[CH2;D2;+0:6]-[CH;D3;+0:2](-[CH3;D1;+0:3])-[CH;D3;+0:4]-[CH3;D1;+0:5]>>[C;H0;D3;+0:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[CH3;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6]-[CH3;D1;+0:7],[C;D1;H3:1]-[C;H0;D3;+0:2]1=[C:3]-[CH;D3;+0:4](-[CH3;D1;+0:7])-[CH;D3;+0:5](-[CH3;D1;+0:6])-[CH2;D2;+0:8]-[CH2;D2;+0:9]-1>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[C:3]-[CH3;D1;+0:4])-[CH;D2;+0:5]=[CH2;D1;+0:6].[CH2;D1;+0:7]=[CH;D2;+0:8]-[CH3;D1;+0:9]
1289,CC(C)=C(C)C=C.C=CC,CC1(C)C=C(C)CCC1C,[CH3:1][C:2]([CH3:3])=[C:9]([CH3:10])[CH:8]=[CH2:7].[CH2:4]=[CH:5][CH3:6]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[C:5]([CH3:6])[CH2:7][CH2:8][CH:9]1[CH3:10],加热,[C;H0;D3;+0:6]1=[CH;D2;+0:5]-[C;H0;D4;+0:1]-[CH;D3;+0:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-1>>[C;H0;D3;+0:1]=[C;H0;D3;+0:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6],[C;D1;H3:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:9](-[C;D1;H3:8])=[CH;D2;+0:10]-[C;H0;D4;+0:5]-1(-[C;D1;H3:6])-[C;D1;H3:7]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[CH;D2;+0:3]=[CH2;D1;+0:4])=[C;H0;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7].[C;D1;H3:8]-[CH;D2;+0:9]=[CH2;D1;+0:10]
1290,C=C(C)C(C)=C.C=CC,C1C(C)=C(C)CCC1C,[CH2:6]=[C:4]([CH3:5])[C:2]([CH3:3])=[CH2:1].[CH2:7]=[CH:8][CH3:9]>>[CH2:1]1[C:2]([CH3:3])=[C:4]([CH3:5])[CH2:6][CH2:7][CH:8]1[CH3:9],加热,[C;H0;D3;+0:2]1=[C;H0;D3;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH;D3;+0:6]-[CH2;D2;+0:1]-1>>[CH2;D1;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=[CH2;D1;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6],[C;D1;H3:1]-[C;H0;D3;+0:2]1=[C;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:6]-[CH2;D2;+0:9]-[CH;D3;+0:8](-[C;D1;H3:7])-[CH2;D2;+0:3]-1>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH2;D1;+0:6].[C;D1;H3:7]-[CH;D2;+0:8]=[CH2;D1;+0:9]
1291,CC=C(C)C(C)=C.C=CC,CC1C(C)=C(C)CCC1C,[CH3:8][CH:7]=[C:5]([CH3:6])[C:3]([CH3:4])=[CH2:2].[CH2:1]=[CH:9][CH3:10]>>[CH3:1][CH:2]1[C:3]([CH3:4])=[C:5]([CH3:6])[CH2:7][CH2:8][CH:9]1[CH3:10],加热,[CH3;D1;+0:6]-[CH;D3;+0:1]1-[C;H0;D3;+0:2]=[C;H0;D3;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH;D3;+0:7]-1>>[CH2;D1;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=[CH;D2;+0:4]-[CH3;D1;+0:5].[CH2;D1;+0:6]=[CH;D2;+0:7],[C;D1;H3:8]-[CH;D3;+0:9]1-[CH2;D2;+0:7]-[CH2;D2;+0:6]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[C;H0;D3;+0:2](-[C;D1;H3:1])-[CH;D3;+0:3]-1-[CH3;D1;+0:10]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[CH3;D1;+0:7].[C;D1;H3:8]-[CH;D2;+0:9]=[CH2;D1;+0:10]
1292,CC(C)=C(C)C(C)=C.C=CC,CC1(C)C(C)=C(C)CCC1C,[CH3:8][C:6]([CH3:7])=[C:4]([CH3:5])[C:2]([CH3:3])=[CH2:1].[CH2:11]=[CH:10][CH3:9]>>[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])=[C:6]([CH3:7])[CH2:8][CH2:9][CH:10]1[CH3:11],加热,[CH2;D2;+0:3]-[CH2;D2;+0:6]-[CH;D3;+0:5](-[CH3;D1;+0:4])-[C;H0;D4;+0:1]-[CH3;D1;+0:2]>>[C;H0;D3;+0:1]=[CH2;D1;+0:2].[CH3;D1;+0:3].[CH2;D1;+0:4]=[CH;D2;+0:5]-[CH3;D1;+0:6],[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[CH3;D1;+0:3])-[C:4]=[C:5]-[CH2;D2;+0:6]-[CH2;D2;+0:9]-[CH;D3;+0:8]-1-[CH3;D1;+0:7]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[C:4]=[C:5]-[CH3;D1;+0:6].[CH2;D1;+0:7]=[CH;D2;+0:8]-[CH3;D1;+0:9]
1293,CC=CC=CC.C=CC,CC1C=CC(C)CC1C,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6].[CH2:7]=[CH:8][CH3:9]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[CH2:7][CH:8]1[CH3:9],加热,[CH2;D2;+0:1]1-[CH;D3;+0:6]-[CH;D2;+0:5]=[CH;D2;+0:4]-[CH;D3;+0:3]-[CH;D3;+0:2]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2].[CH;D2;+0:3]=[CH;D2;+0:4]-[CH;D2;+0:5]=[CH;D2;+0:6],[C;D1;H3:4]-[CH;D3;+0:5]1-[CH;D2;+0:6]=[CH;D2;+0:7]-[CH;D3;+0:8](-[C;D1;H3:9])-[CH2;D2;+0:3]-[CH;D3;+0:2]-1-[C;D1;H3:1]>>[C;D1;H3:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[C;D1;H3:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[CH;D2;+0:7]=[CH;D2;+0:8]-[C;D1;H3:9]
1294,CC(C)=CC=CC.C=CC,CC1(C)C=CC(C)CC1C,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[CH:6][CH3:7].[CH2:8]=[CH:9][CH3:10]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[CH:5][CH:6]([CH3:7])[CH2:8][CH:9]1[CH3:10],加热,[C;H0;D4;+0:1]1-[CH;D2;+0:2]=[CH;D2;+0:3]-[CH;D3;+0:4]-[CH2;D2;+0:5]-[CH;D3;+0:6]-1>>[C;H0;D3;+0:1]=[CH;D2;+0:2]-[CH;D2;+0:3]=[CH;D2;+0:4].[CH2;D1;+0:5]=[CH;D2;+0:6],[C;D1;H3:8]-[CH;D3;+0:9]1-[CH2;D2;+0:10]-[CH;D3;+0:6](-[C;D1;H3:7])-[CH;D2;+0:5]=[CH;D2;+0:4]-[C;H0;D4;+0:2]-1(-[C;D1;H3:1])-[C;D1;H3:3]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[C;D1;H3:7].[C;D1;H3:8]-[CH;D2;+0:9]=[CH2;D1;+0:10]
1295,CC=C(C)C=CC.C=CC,CC1C(C)=CC(C)CC1C,[CH3:1][CH:2]=[C:3]([CH3:4])[CH:8]=[CH:6][CH3:7].[CH2:5]=[CH:9][CH3:10]>>[CH3:1][CH:2]1[C:3]([CH3:4])=[CH:5][CH:6]([CH3:7])[CH2:8][CH:9]1[CH3:10],加热,[C;H0;D3;+0:4]1=[CH;D2;+0:1]-[CH;D3;+0:6]-[CH2;D2;+0:5]-[CH;D3;+0:2]-[CH;D3;+0:3]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2].[CH;D2;+0:3]=[C;H0;D3;+0:4]-[CH;D2;+0:5]=[CH;D2;+0:6],[C;D1;H3:8]-[CH;D3;+0:9]1-[CH2;D2;+0:5]-[CH;D3;+0:6](-[C;D1;H3:7])-[CH;D2;+0:10]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[CH;D3;+0:2]-1-[C;D1;H3:1]>>[C;D1;H3:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[CH;D2;+0:5]=[CH;D2;+0:6]-[C;D1;H3:7].[C;D1;H3:8]-[CH;D2;+0:9]=[CH2;D1;+0:10]
1296,CC(C)=C(C)C=CC.C=CC,CC1(C)C(C)=CC(C)CC1C,[CH3:2][C:4]([CH3:5])=[C:7]([CH3:8])[CH:9]=[CH:10][CH3:11].[CH2:1]=[CH:6][CH3:3]>>[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])=[CH:6][CH:7]([CH3:8])[CH2:9][CH:10]1[CH3:11],加热,[CH3;D1;+0:1]-[C;H0;D4;+0:4]1(-[CH3;D1;+0:3])-[C;H0;D3;+0:5]=[CH;D2;+0:2]-[CH;D3;+0:6]-[CH2;D2;+0:7]-[CH;D3;+0:8]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH3;D1;+0:4]-[C;H0;D3;+0:5]=[C;H0;D3;+0:6]-[CH;D2;+0:7]=[CH;D2;+0:8],[C;D1;H3:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH;D3;+0:4](-[C;D1;H3:5])-[CH;D2;+0:10]=[C;H0;D3;+0:6](-[C;D1;H3:7])-[C;H0;D4;+0:8]-1(-[CH3;D1;+0:9])-[CH3;D1;+0:11]>>[C;D1;H3:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[C;H0;D3;+0:6](-[C;D1;H3:7])-[CH3;D1;+0:8].[CH2;D1;+0:9]=[CH;D2;+0:10]-[CH3;D1;+0:11]
1297,CC=C(C)C=CC.C=CC,CC1C=C(C)C(C)CC1C,[CH3:7][CH:6]=[C:4]([CH3:5])[CH:3]=[CH:2][CH3:1].[CH2:8]=[CH:9][CH3:10]>>[CH3:1][CH:2]1[CH:3]=[C:4]([CH3:5])[CH:6]([CH3:7])[CH2:8][CH:9]1[CH3:10],加热,[C;H0;D3;+0:5]1=[CH;D2;+0:4]-[CH;D3;+0:3]-[CH;D3;+0:2]-[CH2;D2;+0:1]-[CH;D3;+0:6]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2].[CH;D2;+0:3]=[CH;D2;+0:4]-[C;H0;D3;+0:5]=[CH;D2;+0:6],[C;D1;H3:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH;D3;+0:9](-[C;D1;H3:10])-[C;H0;D3;+0:7](-[C;D1;H3:8])=[CH;D2;+0:6]-[CH;D3;+0:5]-1-[C;D1;H3:4]>>[C;D1;H3:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[C;D1;H3:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[C;H0;D3;+0:7](-[C;D1;H3:8])=[CH;D2;+0:9]-[C;D1;H3:10]
1298,CC(C)=C(C)C=CC.C=CC,CC1(C)C=C(C)C(C)CC1C,[CH3:9][C:7]([CH3:8])=[C:5]([CH3:6])[CH:4]=[CH:2][CH3:10].[CH2:1]=[CH:11][CH3:3]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[C:5]([CH3:6])[CH:7]([CH3:8])[CH2:9][CH:10]1[CH3:11],加热,[CH3;D1;+0:2]-[CH;D3;+0:4]1-[CH2;D2;+0:9]-[CH;D3;+0:8]-[C;H0;D3;+0:7]=[CH;D2;+0:6]-[C;H0;D4;+0:5]-1(-[CH3;D1;+0:1])-[CH3;D1;+0:3]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[CH3;D1;+0:3].[CH3;D1;+0:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[C;H0;D3;+0:7]=[C;H0;D3;+0:8]-[CH3;D1;+0:9],[C;D1;H3:1]-[C;H0;D3;+0:2]1=[CH;D2;+0:3]-[C;H0;D4;+0:4](-[CH3;D1;+0:9])(-[CH3;D1;+0:11])-[CH;D3;+0:5](-[CH3;D1;+0:10])-[CH2;D2;+0:8]-[CH;D3;+0:6]-1-[C;D1;H3:7]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[CH;D2;+0:3]=[CH;D2;+0:4]-[CH3;D1;+0:5])=[C;H0;D3;+0:6](-[C;D1;H3:7])-[CH3;D1;+0:8].[CH2;D1;+0:9]=[CH;D2;+0:10]-[CH3;D1;+0:11]
